amount,transactionAmountLevel,taxHavenRiskLevel,transactionType,isFraud
1120.5,HIGH,NONE,INTERNATIONAL,0
82.22,LOW,NONE,INTERNATIONAL,0
90.97,LOW,NONE,DOMESTIC,0
12.12,LOW,NONE,DOMESTIC,0
176.62,LOW,NONE,DOMESTIC,0
52.42,LOW,LOW,INTERNATIONAL,0
107.65,LOW,NONE,DOMESTIC,0
67.35,LOW,NONE,DOMESTIC,0
193.71,LOW,NONE,DOMESTIC,0
20.51,LOW,NONE,INTERNATIONAL,0
30.36,LOW,NONE,INTERNATIONAL,0
3897.58,HIGH,NONE,INTERNATIONAL,1
38.69,LOW,NONE,DOMESTIC,0
50.05,LOW,NONE,INTERNATIONAL,0
2626.64,HIGH,NONE,INTERNATIONAL,0
11108.53,HIGH,MEDIUM,DOMESTIC,0
45.24,LOW,NONE,DOMESTIC,0
133.82,LOW,NONE,INTERNATIONAL,0
348.88,LOW,NONE,DOMESTIC,0
2269.62,HIGH,NONE,DOMESTIC,0
58.05,LOW,NONE,DOMESTIC,0
157.99,LOW,NONE,DOMESTIC,0
628.31,MEDIUM,NONE,DOMESTIC,1
395.66,LOW,NONE,INTERNATIONAL,0
132.4,LOW,NONE,DOMESTIC,0
183.64,LOW,NONE,INTERNATIONAL,0
34.38,LOW,NONE,DOMESTIC,0
159.51,LOW,NONE,DOMESTIC,0
153.55,LOW,NONE,INTERNATIONAL,0
300.98,LOW,NONE,DOMESTIC,0
103.95,LOW,NONE,DOMESTIC,0
415.8,LOW,NONE,INTERNATIONAL,0
863.33,MEDIUM,NONE,DOMESTIC,0
271.36,LOW,NONE,DOMESTIC,0
353.72,LOW,NONE,DOMESTIC,0
236.37,LOW,NONE,INTERNATIONAL,0
220.03,LOW,NONE,DOMESTIC,0
83.06,LOW,NONE,DOMESTIC,0
337.27,LOW,NONE,INTERNATIONAL,0
192.92,LOW,NONE,DOMESTIC,0
3712.29,HIGH,NONE,DOMESTIC,0
1840.25,HIGH,NONE,DOMESTIC,1
370.38,LOW,NONE,DOMESTIC,0
78.53,LOW,NONE,DOMESTIC,0
49.0,LOW,NONE,DOMESTIC,0
1098.47,HIGH,NONE,DOMESTIC,0
313.67,LOW,NONE,DOMESTIC,0
420.66,LOW,NONE,DOMESTIC,0
20.87,LOW,NONE,DOMESTIC,0
769.45,MEDIUM,NONE,DOMESTIC,0
406.3,LOW,NONE,DOMESTIC,0
49.13,LOW,NONE,INTERNATIONAL,0
116.4,LOW,NONE,DOMESTIC,0
314.08,LOW,NONE,DOMESTIC,0
236.15,LOW,NONE,DOMESTIC,0
148.29,LOW,NONE,INTERNATIONAL,0
191.31,LOW,NONE,DOMESTIC,0
156.56,LOW,NONE,INTERNATIONAL,0
270.31,LOW,NONE,DOMESTIC,0
1603.82,HIGH,NONE,DOMESTIC,0
6.88,LOW,NONE,INTERNATIONAL,0
159.79,LOW,LOW,DOMESTIC,0
279.2,LOW,NONE,DOMESTIC,0
328.07,LOW,NONE,INTERNATIONAL,0
133.16,LOW,NONE,DOMESTIC,0
20.53,LOW,NONE,DOMESTIC,0
342.55,LOW,NONE,DOMESTIC,0
2265.5,HIGH,NONE,DOMESTIC,0
27.74,LOW,NONE,INTERNATIONAL,0
706.13,MEDIUM,NONE,DOMESTIC,0
141.19,LOW,NONE,INTERNATIONAL,0
202.52,LOW,NONE,DOMESTIC,0
53.1,LOW,NONE,INTERNATIONAL,0
140.07,LOW,LOW,INTERNATIONAL,0
1272.44,HIGH,NONE,INTERNATIONAL,0
483.09,LOW,NONE,DOMESTIC,0
2280.72,HIGH,NONE,DOMESTIC,0
1078.29,HIGH,NONE,DOMESTIC,0
397.98,LOW,NONE,DOMESTIC,0
2316.79,HIGH,NONE,DOMESTIC,0
397.93,LOW,NONE,INTERNATIONAL,0
672.78,MEDIUM,HIGH,DOMESTIC,0
147.42,LOW,NONE,INTERNATIONAL,0
240.68,LOW,NONE,DOMESTIC,0
85.81,LOW,MEDIUM,INTERNATIONAL,1
836.78,MEDIUM,NONE,DOMESTIC,0
44.83,LOW,NONE,DOMESTIC,0
632.58,MEDIUM,NONE,INTERNATIONAL,1
170.08,LOW,HIGH,INTERNATIONAL,1
1069.36,HIGH,NONE,INTERNATIONAL,0
606.25,MEDIUM,NONE,INTERNATIONAL,1
2569.59,HIGH,NONE,DOMESTIC,0
590.03,MEDIUM,MEDIUM,INTERNATIONAL,0
26.35,LOW,NONE,DOMESTIC,0
200.99,LOW,NONE,DOMESTIC,0
45.21,LOW,NONE,DOMESTIC,0
109.28,LOW,NONE,DOMESTIC,0
1692.2,HIGH,NONE,DOMESTIC,0
520.24,MEDIUM,LOW,INTERNATIONAL,1
85.63,LOW,NONE,DOMESTIC,0
55.99,LOW,NONE,INTERNATIONAL,0
229.95,LOW,NONE,DOMESTIC,0
42.58,LOW,NONE,DOMESTIC,0
88.91,LOW,NONE,DOMESTIC,0
335.24,LOW,NONE,DOMESTIC,0
1046.6,HIGH,NONE,DOMESTIC,0
500.42,MEDIUM,MEDIUM,DOMESTIC,0
9.98,LOW,NONE,DOMESTIC,0
331.8,LOW,NONE,DOMESTIC,0
242.47,LOW,LOW,INTERNATIONAL,0
384.67,LOW,NONE,DOMESTIC,0
1949.86,HIGH,MEDIUM,INTERNATIONAL,0
13.58,LOW,NONE,INTERNATIONAL,0
99.05,LOW,NONE,DOMESTIC,0
488.51,LOW,NONE,DOMESTIC,0
26.01,LOW,NONE,DOMESTIC,0
1613.5,HIGH,NONE,DOMESTIC,0
361.73,LOW,NONE,DOMESTIC,0
689.88,MEDIUM,LOW,INTERNATIONAL,0
101.78,LOW,NONE,DOMESTIC,0
659.98,MEDIUM,NONE,DOMESTIC,0
930.82,MEDIUM,NONE,DOMESTIC,0
301.27,LOW,NONE,DOMESTIC,0
301.89,LOW,NONE,DOMESTIC,0
316.9,LOW,NONE,DOMESTIC,0
68.59,LOW,MEDIUM,INTERNATIONAL,0
180.27,LOW,MEDIUM,DOMESTIC,0
179.06,LOW,NONE,DOMESTIC,0
369.15,LOW,NONE,DOMESTIC,0
848.43,MEDIUM,NONE,DOMESTIC,0
52.7,LOW,NONE,INTERNATIONAL,0
185.84,LOW,NONE,INTERNATIONAL,0
1625.54,HIGH,NONE,INTERNATIONAL,0
80.62,LOW,NONE,DOMESTIC,0
72.5,LOW,HIGH,DOMESTIC,0
289.09,LOW,NONE,INTERNATIONAL,0
687.83,MEDIUM,NONE,DOMESTIC,0
223.42,LOW,NONE,DOMESTIC,0
1323.09,HIGH,LOW,DOMESTIC,1
699.45,MEDIUM,NONE,DOMESTIC,0
685.46,MEDIUM,MEDIUM,INTERNATIONAL,0
464.84,LOW,NONE,DOMESTIC,0
5094.72,HIGH,NONE,INTERNATIONAL,0
166.78,LOW,NONE,DOMESTIC,0
14.72,LOW,NONE,DOMESTIC,0
1918.64,HIGH,NONE,DOMESTIC,0
118.6,LOW,NONE,DOMESTIC,0
254.49,LOW,NONE,DOMESTIC,0
1288.87,HIGH,NONE,DOMESTIC,0
25.29,LOW,NONE,DOMESTIC,1
40.61,LOW,LOW,INTERNATIONAL,0
25.33,LOW,NONE,DOMESTIC,0
75.3,LOW,NONE,DOMESTIC,0
398.27,LOW,NONE,DOMESTIC,0
446.43,LOW,NONE,INTERNATIONAL,0
319.45,LOW,NONE,DOMESTIC,0
32.67,LOW,NONE,DOMESTIC,0
9.73,LOW,NONE,DOMESTIC,0
236.75,LOW,NONE,DOMESTIC,1
116.36,LOW,NONE,DOMESTIC,0
409.03,LOW,NONE,DOMESTIC,0
567.51,MEDIUM,NONE,INTERNATIONAL,0
265.14,LOW,NONE,DOMESTIC,0
613.88,MEDIUM,NONE,DOMESTIC,0
299.78,LOW,NONE,DOMESTIC,0
449.99,LOW,LOW,DOMESTIC,0
84.97,LOW,NONE,DOMESTIC,0
172.63,LOW,NONE,DOMESTIC,0
286.94,LOW,NONE,DOMESTIC,0
666.03,MEDIUM,NONE,DOMESTIC,0
129.29,LOW,NONE,DOMESTIC,0
444.61,LOW,NONE,INTERNATIONAL,0
153.66,LOW,LOW,DOMESTIC,0
187.72,LOW,NONE,DOMESTIC,0
674.17,MEDIUM,NONE,INTERNATIONAL,0
14.92,LOW,NONE,INTERNATIONAL,0
38.22,LOW,NONE,DOMESTIC,0
29.75,LOW,NONE,INTERNATIONAL,1
9.42,LOW,NONE,DOMESTIC,0
88.06,LOW,NONE,DOMESTIC,0
605.08,MEDIUM,NONE,INTERNATIONAL,0
149.76,LOW,NONE,INTERNATIONAL,0
287.33,LOW,NONE,DOMESTIC,0
957.26,MEDIUM,NONE,DOMESTIC,0
1320.81,HIGH,NONE,DOMESTIC,0
200.4,LOW,LOW,DOMESTIC,0
1367.81,HIGH,HIGH,INTERNATIONAL,1
249.14,LOW,NONE,DOMESTIC,0
71.03,LOW,NONE,DOMESTIC,0
98.61,LOW,NONE,DOMESTIC,0
29.81,LOW,NONE,DOMESTIC,0
66.33,LOW,NONE,DOMESTIC,0
135.68,LOW,NONE,INTERNATIONAL,0
650.97,MEDIUM,NONE,DOMESTIC,0
2245.46,HIGH,NONE,DOMESTIC,0
34.04,LOW,NONE,DOMESTIC,0
373.88,LOW,NONE,DOMESTIC,0
54.0,LOW,NONE,DOMESTIC,0
417.58,LOW,NONE,DOMESTIC,0
184.32,LOW,NONE,DOMESTIC,0
18.58,LOW,NONE,DOMESTIC,0
770.34,MEDIUM,MEDIUM,INTERNATIONAL,0
97.21,LOW,NONE,DOMESTIC,0
107.0,LOW,NONE,DOMESTIC,0
51.91,LOW,NONE,DOMESTIC,0
90.95,LOW,NONE,DOMESTIC,0
392.01,LOW,NONE,INTERNATIONAL,0
170.4,LOW,NONE,DOMESTIC,0
342.86,LOW,NONE,DOMESTIC,0
358.61,LOW,NONE,DOMESTIC,0
1308.35,HIGH,NONE,INTERNATIONAL,0
138.5,LOW,NONE,DOMESTIC,0
29.96,LOW,NONE,DOMESTIC,0
929.25,MEDIUM,NONE,DOMESTIC,0
140.63,LOW,NONE,DOMESTIC,0
990.62,MEDIUM,HIGH,INTERNATIONAL,1
369.14,LOW,NONE,DOMESTIC,0
184.3,LOW,NONE,DOMESTIC,0
352.3,LOW,NONE,DOMESTIC,0
3064.06,HIGH,NONE,INTERNATIONAL,0
3632.05,HIGH,NONE,DOMESTIC,0
241.6,LOW,NONE,DOMESTIC,0
273.11,LOW,LOW,INTERNATIONAL,1
940.63,MEDIUM,NONE,DOMESTIC,0
70.24,LOW,NONE,INTERNATIONAL,0
344.91,LOW,NONE,INTERNATIONAL,0
212.45,LOW,NONE,DOMESTIC,0
336.1,LOW,NONE,DOMESTIC,0
71.42,LOW,NONE,DOMESTIC,0
25.73,LOW,NONE,DOMESTIC,0
13.4,LOW,NONE,DOMESTIC,0
48.67,LOW,NONE,INTERNATIONAL,0
118.44,LOW,NONE,DOMESTIC,0
148.09,LOW,MEDIUM,DOMESTIC,0
3007.58,HIGH,NONE,DOMESTIC,0
979.18,MEDIUM,NONE,DOMESTIC,0
60.03,LOW,NONE,DOMESTIC,0
351.79,LOW,LOW,INTERNATIONAL,0
126.99,LOW,NONE,DOMESTIC,0
149.87,LOW,NONE,DOMESTIC,0
282.54,LOW,NONE,DOMESTIC,0
507.51,MEDIUM,NONE,DOMESTIC,0
139.16,LOW,NONE,INTERNATIONAL,0
925.03,MEDIUM,NONE,DOMESTIC,0
47.09,LOW,NONE,DOMESTIC,0
221.89,LOW,NONE,DOMESTIC,0
7335.55,HIGH,NONE,DOMESTIC,0
297.31,LOW,NONE,DOMESTIC,0
1523.05,HIGH,MEDIUM,INTERNATIONAL,1
248.93,LOW,LOW,INTERNATIONAL,0
481.87,LOW,NONE,DOMESTIC,0
203.77,LOW,NONE,DOMESTIC,0
174.79,LOW,NONE,DOMESTIC,0
76.81,LOW,NONE,DOMESTIC,0
393.28,LOW,LOW,DOMESTIC,0
69.69,LOW,NONE,DOMESTIC,0
540.32,MEDIUM,NONE,DOMESTIC,0
952.19,MEDIUM,NONE,DOMESTIC,0
360.84,LOW,NONE,DOMESTIC,0
149.48,LOW,NONE,DOMESTIC,0
406.05,LOW,NONE,DOMESTIC,0
145.03,LOW,NONE,DOMESTIC,0
777.91,MEDIUM,NONE,DOMESTIC,1
18.56,LOW,NONE,INTERNATIONAL,0
139.85,LOW,LOW,DOMESTIC,0
14.97,LOW,NONE,DOMESTIC,0
29.23,LOW,NONE,DOMESTIC,0
1386.92,HIGH,NONE,DOMESTIC,0
736.66,MEDIUM,NONE,DOMESTIC,0
83.29,LOW,NONE,DOMESTIC,0
28.94,LOW,NONE,DOMESTIC,0
5.0,LOW,NONE,DOMESTIC,0
105.63,LOW,NONE,INTERNATIONAL,0
5774.39,HIGH,NONE,INTERNATIONAL,0
395.73,LOW,NONE,DOMESTIC,0
103.36,LOW,NONE,DOMESTIC,0
412.19,LOW,NONE,DOMESTIC,0
26.74,LOW,NONE,DOMESTIC,0
147.27,LOW,MEDIUM,DOMESTIC,0
251.62,LOW,NONE,DOMESTIC,0
195.86,LOW,NONE,DOMESTIC,0
639.84,MEDIUM,NONE,DOMESTIC,0
350.34,LOW,LOW,DOMESTIC,0
542.33,MEDIUM,NONE,DOMESTIC,0
86.86,LOW,NONE,DOMESTIC,0
739.28,MEDIUM,NONE,DOMESTIC,0
1983.65,HIGH,NONE,DOMESTIC,0
59.38,LOW,MEDIUM,INTERNATIONAL,0
66.37,LOW,LOW,INTERNATIONAL,0
1335.33,HIGH,MEDIUM,DOMESTIC,0
169.92,LOW,NONE,DOMESTIC,0
1463.79,HIGH,NONE,DOMESTIC,0
121.05,LOW,NONE,DOMESTIC,0
1568.6,HIGH,NONE,DOMESTIC,0
262.73,LOW,NONE,DOMESTIC,0
311.76,LOW,NONE,DOMESTIC,0
1818.92,HIGH,LOW,INTERNATIONAL,0
134.99,LOW,NONE,DOMESTIC,0
61.75,LOW,NONE,DOMESTIC,0
120.07,LOW,NONE,DOMESTIC,0
405.16,LOW,NONE,DOMESTIC,0
26.57,LOW,NONE,DOMESTIC,0
520.2,MEDIUM,NONE,INTERNATIONAL,0
106.3,LOW,LOW,INTERNATIONAL,0
1036.05,HIGH,NONE,DOMESTIC,0
8.68,LOW,NONE,INTERNATIONAL,0
76.08,LOW,NONE,DOMESTIC,1
22.58,LOW,NONE,DOMESTIC,0
72.11,LOW,HIGH,DOMESTIC,1
307.35,LOW,NONE,DOMESTIC,0
172.72,LOW,NONE,DOMESTIC,0
156.27,LOW,NONE,DOMESTIC,0
177.46,LOW,NONE,DOMESTIC,0
289.51,LOW,NONE,INTERNATIONAL,1
56.38,LOW,NONE,DOMESTIC,0
571.28,MEDIUM,NONE,INTERNATIONAL,0
538.2,MEDIUM,NONE,DOMESTIC,0
369.97,LOW,LOW,INTERNATIONAL,0
466.36,LOW,NONE,DOMESTIC,0
328.26,LOW,NONE,DOMESTIC,0
3432.27,HIGH,LOW,DOMESTIC,0
195.6,LOW,NONE,INTERNATIONAL,0
145.34,LOW,NONE,DOMESTIC,0
79.55,LOW,NONE,DOMESTIC,0
54.6,LOW,NONE,INTERNATIONAL,0
41.0,LOW,NONE,DOMESTIC,0
66.27,LOW,NONE,INTERNATIONAL,0
199.98,LOW,NONE,DOMESTIC,0
345.48,LOW,NONE,DOMESTIC,0
235.73,LOW,NONE,DOMESTIC,0
78.27,LOW,NONE,DOMESTIC,0
741.65,MEDIUM,NONE,DOMESTIC,0
596.95,MEDIUM,NONE,DOMESTIC,1
177.35,LOW,NONE,DOMESTIC,0
91.12,LOW,NONE,INTERNATIONAL,0
461.28,LOW,HIGH,INTERNATIONAL,1
283.55,LOW,NONE,DOMESTIC,0
31.15,LOW,NONE,DOMESTIC,0
200.71,LOW,NONE,DOMESTIC,0
313.37,LOW,NONE,INTERNATIONAL,0
65.3,LOW,LOW,INTERNATIONAL,0
284.27,LOW,NONE,DOMESTIC,0
30.86,LOW,NONE,DOMESTIC,1
1336.06,HIGH,NONE,INTERNATIONAL,0
1186.02,HIGH,MEDIUM,INTERNATIONAL,1
156.45,LOW,NONE,DOMESTIC,0
359.35,LOW,LOW,INTERNATIONAL,1
8.5,LOW,NONE,DOMESTIC,0
46.18,LOW,NONE,DOMESTIC,0
147.97,LOW,NONE,INTERNATIONAL,0
51.74,LOW,NONE,DOMESTIC,0
577.13,MEDIUM,NONE,DOMESTIC,0
3261.62,HIGH,HIGH,INTERNATIONAL,1
44.93,LOW,NONE,INTERNATIONAL,1
71.03,LOW,NONE,DOMESTIC,0
302.32,LOW,NONE,DOMESTIC,0
1936.49,HIGH,MEDIUM,INTERNATIONAL,1
42.24,LOW,NONE,DOMESTIC,0
307.92,LOW,NONE,INTERNATIONAL,0
2571.85,HIGH,NONE,DOMESTIC,0
23.66,LOW,NONE,DOMESTIC,0
39.02,LOW,NONE,DOMESTIC,0
124.18,LOW,NONE,INTERNATIONAL,0
108.94,LOW,LOW,INTERNATIONAL,0
